Using device: cuda
Random seed set to: 42

Loading causal model (encoder source) from /snel/home/cbwash2/cleo/results/causal_z64_pw200_h128_lr3e4/model.pt...
  n_x=50, n_u=2, z_dim=64, hidden=128, n_layers=2

Loading acausal model from /snel/home/cbwash2/cleo/results/sweep_latent_node_40_10/run_05_z64_h256_l2_lr0.0005_dopri5.pt...
  n_x=50, n_u=2, z_dim=64, hidden=256, n_layers=2

=> Using CAUSAL ODE (drift+control) + decoder

================================================================================
EnKF Causal-Init Sweep: ode_source=causal, obs_delay=10
  6 K × 2 Q × 2 R = 24 configs
  Ensemble size: 64
  Horizon: 200, Stride: 200
  Window batch size: 32
================================================================================

  Trial 47: MSE=0.080435, R²=0.9281
  Trial 48: MSE=0.102250, R²=0.9017
  Trial 49: MSE=0.107572, R²=0.9146
  => R²=0.9025, MSE=0.097425, Time=481.1ms

[11/24] K=20, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.078462, R²=0.9285
  Trial 41: MSE=0.065343, R²=0.9363
  Trial 42: MSE=0.073623, R²=0.9198
  Trial 43: MSE=0.077719, R²=0.9135
  Trial 44: MSE=0.073086, R²=0.9182
  Trial 45: MSE=0.077367, R²=0.9150
  Trial 46: MSE=0.066694, R²=0.9282
  Trial 47: MSE=0.060473, R²=0.9459
  Trial 48: MSE=0.070260, R²=0.9325
  Trial 49: MSE=0.063948, R²=0.9492
  => R²=0.9287, MSE=0.070698, Time=481.6ms

[12/24] K=20, Q=0.1, R=0.1, delay=10
  Trial 40: MSE=0.076245, R²=0.9305
  Trial 41: MSE=0.063664, R²=0.9379
  Trial 42: MSE=0.071313, R²=0.9223
  Trial 43: MSE=0.075376, R²=0.9161
  Trial 44: MSE=0.070973, R²=0.9206
  Trial 45: MSE=0.074922, R²=0.9177
  Trial 46: MSE=0.065179, R²=0.9298
  Trial 47: MSE=0.058867, R²=0.9474
  Trial 48: MSE=0.068711, R²=0.9340
  Trial 49: MSE=0.063393, R²=0.9497
  => R²=0.9306, MSE=0.068864, Time=483.9ms

[13/24] K=50, Q=0.01, R=0.01, delay=10
  Trial 40: MSE=0.104843, R²=0.9044
  Trial 41: MSE=0.088772, R²=0.9135
  Trial 42: MSE=0.095860, R²=0.8955
  Trial 43: MSE=0.101336, R²=0.8872
  Trial 44: MSE=0.098924, R²=0.8893
  Trial 45: MSE=0.099755, R²=0.8904
  Trial 46: MSE=0.088399, R²=0.9049
  Trial 47: MSE=0.079220, R²=0.9292
  Trial 48: MSE=0.095898, R²=0.9078
  Trial 49: MSE=0.094212, R²=0.9252
  => R²=0.9047, MSE=0.094722, Time=467.0ms

[14/24] K=50, Q=0.01, R=0.1, delay=10
  Trial 40: MSE=0.135027, R²=0.8769
  Trial 41: MSE=0.119049, R²=0.8839
  Trial 42: MSE=0.116649, R²=0.8729
  Trial 43: MSE=0.121092, R²=0.8652
  Trial 44: MSE=0.121403, R²=0.8641
  Trial 45: MSE=0.118473, R²=0.8699
  Trial 46: MSE=0.113058, R²=0.8783
  Trial 47: MSE=0.099394, R²=0.9111
  Trial 48: MSE=0.127648, R²=0.8773
  Trial 49: MSE=0.140277, R²=0.8886
  => R²=0.8788, MSE=0.121207, Time=459.0ms

[15/24] K=50, Q=0.1, R=0.01, delay=10
  Trial 40: MSE=0.109702, R²=0.9000
  Trial 41: MSE=0.093092, R²=0.9092
  Trial 42: MSE=0.101060, R²=0.8899
  Trial 43: MSE=0.106854, R²=0.8811
  Trial 44: MSE=0.104109, R²=0.8835
  Trial 45: MSE=0.105201, R²=0.8844
  Trial 46: MSE=0.092706, R²=0.9002
  Trial 47: MSE=0.083647, R²=0.9252
  Trial 48: MSE=0.100374, R²=0.9035
  Trial 49: MSE=0.097590, R²=0.9225
  => R²=0.9000, MSE=0.099434, Time=496.6ms

[16/24] K=50, Q=0.1, R=0.1, delay=10
